regName,type,arraySize,VGAbase,VGAvalue,XGAbase,XGAvalue,L520base,L520value
JFILgrad2ThrFactor_011,uint8,4,h,3F3E3D3C,h,3F3E3D3C,h,3F3E3D3C
JFILgrad2ThrFactor_012,uint8,4,h,3F3F3F3F,h,3F3F3F3F,h,3F3F3F3F
JFILgrad2ThrFactor_013,uint8,4,h,3F3F3F3F,h,3F3F3F3F,h,3F3F3F3F
JFILgrad2ThrFactor_014,uint8,4,h,3F3F3F3F,h,3F3F3F3F,h,3F3F3F3F
JFILgrad2ThrFactor_015,uint8,4,h,3F3F3F3F,h,3F3F3F3F,h,3F3F3F3F
JFILinnWeights_000,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_001,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_002,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_003,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_004,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_005,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_006,uint32,1,h,0003D555,h,0003D555,h,0003D555
JFILinnWeights_007,uint32,1,h,0003D555,h,0003D555,h,0003D555
JFILinnWeights_008,uint32,1,h,0003D555,h,0003D555,h,0003D555
JFILinnWeights_009,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_010,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_011,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_012,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_013,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_014,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_015,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_016,uint32,1,h,0003F000,h,0003F000,h,0003F000
JFILinnWeights_017,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_018,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_019,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_020,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_021,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_022,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_023,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_024,uint32,1,h,00000000,h,00000000,h,00000000
JFILinnWeights_025,uint32,1,h,00000000,h,00000000,h,00000000
