Listing of Grid Distortion Data

File : C:\Users\nberkovi\AppData\Local\Microsoft\Windows\INetCache\Content.Outlook\LUPB47RS\FF WA 1E SEQ 1.4  170308 1p14 TPF 860.ZMX
Title:  FF : Lenght 1.4mm 1.14x TPF
Date : 30-Apr-17


Units are Millimeters.
Field units are degrees
Wavelength: 0.86000 ?m
Reference Coordinates: Xref =  0.00000E+00, Yref =  0.00000E+00

   i	   j	   X-Field  	   Y-Field  	   R-Field  	  Predicted X	  Predicted Y	   Real X	        Real Y	        Distortion
 -24	  -4	 -2.50110E+01	 -4.44620E+00	  2.53131E+01	 -5.13725E+02	 -8.56209E+01	 -5.37254E+02	 -8.95424E+01	     4.580118%
 -24	  -3	 -2.50110E+01	 -3.33758E+00	  2.51816E+01	 -5.13725E+02	 -6.42156E+01	 -5.36927E+02	 -6.71159E+01	     4.516421%
 -24	  -2	 -2.50110E+01	 -2.22645E+00	  2.50871E+01	 -5.13725E+02	 -4.28104E+01	 -5.36694E+02	 -4.47245E+01	     4.471091%
 -24	  -1	 -2.50110E+01	 -1.11365E+00	  2.50301E+01	 -5.13725E+02	 -2.14052E+01	 -5.36555E+02	 -2.23565E+01	     4.443960%
 -24	   0	 -2.50110E+01	  0.00000E+00	  2.50110E+01	 -5.13725E+02	  0.00000E+00	 -5.36509E+02	  0.00000E+00	     4.434927%
 -24	   1	 -2.50110E+01	  1.11365E+00	  2.50301E+01	 -5.13725E+02	  2.14052E+01	 -5.36555E+02	  2.23565E+01	     4.443960%
 -24	   2	 -2.50110E+01	  2.22645E+00	  2.50871E+01	 -5.13725E+02	  4.28104E+01	 -5.36694E+02	  4.47245E+01	     4.471091%
 -24	   3	 -2.50110E+01	  3.33758E+00	  2.51816E+01	 -5.13725E+02	  6.42156E+01	 -5.36927E+02	  6.71159E+01	     4.516421%
 -24	   4	 -2.50110E+01	  4.44620E+00	  2.53131E+01	 -5.13725E+02	  8.56209E+01	 -5.37254E+02	  8.95424E+01	     4.580118%
 -24	   5	 -2.50110E+01	  5.55149E+00	  2.54805E+01	 -5.13725E+02	  1.07026E+02	 -5.37677E+02	  1.12016E+02	     4.662419%
 -24	   6	 -2.50110E+01	  6.65266E+00	  2.56829E+01	 -5.13725E+02	  1.28431E+02	 -5.38197E+02	  1.34549E+02	     4.763636%
 -24	   7	 -2.50110E+01	  7.74891E+00	  2.59189E+01	 -5.13725E+02	  1.49837E+02	 -5.38816E+02	  1.57155E+02	     4.884154%
 -24	   8	 -2.50110E+01	  8.83949E+00	  2.61870E+01	 -5.13725E+02	  1.71242E+02	 -5.39537E+02	  1.79846E+02	     5.024441%
 -24	   9	 -2.50110E+01	  9.92364E+00	  2.64856E+01	 -5.13725E+02	  1.92647E+02	 -5.40362E+02	  2.02636E+02	     5.185050%
 -24	  10	 -2.50110E+01	  1.10007E+01	  2.68130E+01	 -5.13725E+02	  2.14052E+02	 -5.41295E+02	  2.25540E+02	     5.366627%
 -24	  11	 -2.50110E+01	  1.20699E+01	  2.71674E+01	 -5.13725E+02	  2.35457E+02	 -5.42339E+02	  2.48572E+02	     5.569918%
 -24	  12	 -2.50110E+01	  1.31306E+01	  2.75470E+01	 -5.13725E+02	  2.56863E+02	 -5.43500E+02	  2.71750E+02	     5.795784%
 -24	  13	 -2.50110E+01	  1.41823E+01	  2.79499E+01	 -5.13725E+02	  2.78268E+02	 -5.44781E+02	  2.95090E+02	     6.045206%
 -24	  14	 -2.50110E+01	  1.52243E+01	  2.83742E+01	 -5.13725E+02	  2.99673E+02	 -5.46189E+02	  3.18610E+02	     6.319303%
 -24	  15	 -2.50110E+01	  1.62561E+01	  2.88182E+01	 -5.13725E+02	  3.21078E+02	 -5.47730E+02	  3.42332E+02	     6.619350%
 -24	  16	 -2.50110E+01	  1.72771E+01	  2.92799E+01	 -5.13725E+02	  3.42483E+02	 -5.49413E+02	  3.66275E+02	     6.946796%
 -24	  17	 -2.50110E+01	  1.82870E+01	  2.97577E+01	 -5.13725E+02	  3.63889E+02	 -5.51244E+02	  3.90465E+02	     7.303291%
 -24	  18	 -2.50110E+01	  1.92853E+01	  3.02498E+01	 -5.13725E+02	  3.85294E+02	 -5.53234E+02	  4.14926E+02	     7.690716%
 -24	  19	 -2.50110E+01	  2.02715E+01	  3.07545E+01	 -5.13725E+02	  4.06699E+02	 -5.55395E+02	  4.39687E+02	     8.111217%
 -24	  20	 -2.50110E+01	  2.12453E+01	  3.12704E+01	 -5.13725E+02	  4.28104E+02	 -5.57737E+02	  4.64781E+02	     8.567254%
 -24	  21	 -2.50110E+01	  2.22065E+01	  3.17958E+01	 -5.13725E+02	  4.49510E+02	 -5.60277E+02	  4.90243E+02	     9.061651%
 -24	  22	 -2.50110E+01	  2.31546E+01	  3.23295E+01	 -5.13725E+02	  4.70915E+02	 -5.63031E+02	  5.16112E+02	     9.597668%
 -24	  23	 -2.50110E+01	  2.40895E+01	  3.28702E+01	 -5.13725E+02	  4.92320E+02	 -5.66018E+02	  5.42434E+02	    10.179084%
 -24	  24	 -2.50110E+01	  2.50110E+01	  3.34164E+01	 -5.13725E+02	  5.13725E+02	 -5.69260E+02	  5.69260E+02	    10.810306%
 -24	  25	 -2.50110E+01	  2.59189E+01	  3.39672E+01	 -5.13725E+02	  5.35130E+02	 -5.72786E+02	  5.96652E+02	    11.496503%
 -23	 -25	 -2.40895E+01	 -2.59189E+01	  3.34393E+01	 -4.92320E+02	 -5.35130E+02	 -5.45676E+02	 -5.93126E+02	    10.837737%
 -23	 -24	 -2.40895E+01	 -2.50110E+01	  3.28702E+01	 -4.92320E+02	 -5.13725E+02	 -5.42434E+02	 -5.66018E+02	    10.179084%
 -23	 -23	 -2.40895E+01	 -2.40895E+01	  3.23051E+01	 -4.92320E+02	 -4.92320E+02	 -5.39446E+02	 -5.39446E+02	     9.572323%
 -23	 -22	 -2.40895E+01	 -2.31546E+01	  3.17453E+01	 -4.92320E+02	 -4.70915E+02	 -5.36691E+02	 -5.13357E+02	     9.012716%
 -23	 -21	 -2.40895E+01	 -2.22065E+01	  3.11920E+01	 -4.92320E+02	 -4.49510E+02	 -5.34149E+02	 -4.87701E+02	     8.496211%
 -23	 -20	 -2.40895E+01	 -2.12453E+01	  3.06467E+01	 -4.92320E+02	 -4.28104E+02	 -5.31801E+02	 -4.62435E+02	     8.019318%
 -23	 -19	 -2.40895E+01	 -2.02715E+01	  3.01107E+01	 -4.92320E+02	 -4.06699E+02	 -5.29633E+02	 -4.37523E+02	     7.579019%
 -23	 -18	 -2.40895E+01	 -1.92853E+01	  2.95856E+01	 -4.92320E+02	 -3.85294E+02	 -5.27633E+02	 -4.12930E+02	     7.172690%
 -23	 -17	 -2.40895E+01	 -1.82870E+01	  2.90730E+01	 -4.92320E+02	 -3.63889E+02	 -5.25788E+02	 -3.88626E+02	     6.798042%
 -23	 -16	 -2.40895E+01	 -1.72771E+01	  2.85747E+01	 -4.92320E+02	 -3.42483E+02	 -5.24090E+02	 -3.64584E+02	     6.453072%
 -23	 -15	 -2.40895E+01	 -1.62561E+01	  2.80926E+01	 -4.92320E+02	 -3.21078E+02	 -5.22529E+02	 -3.40780E+02	     6.136019%
 -23	 -14	 -2.40895E+01	 -1.52243E+01	  2.76284E+01	 -4.92320E+02	 -2.99673E+02	 -5.21098E+02	 -3.17190E+02	     5.845339%
 -23	 -13	 -2.40895E+01	 -1.41823E+01	  2.71841E+01	 -4.92320E+02	 -2.78268E+02	 -5.19790E+02	 -2.93794E+02	     5.579668%
 -23	 -12	 -2.40895E+01	 -1.31306E+01	  2.67617E+01	 -4.92320E+02	 -2.56863E+02	 -5.18599E+02	 -2.70573E+02	     5.337809%
 -23	 -11	 -2.40895E+01	 -1.20699E+01	  2.63633E+01	 -4.92320E+02	 -2.35457E+02	 -5.17520E+02	 -2.47510E+02	     5.118707%
 -23	 -10	 -2.40895E+01	 -1.10007E+01	  2.59908E+01	 -4.92320E+02	 -2.14052E+02	 -5.16549E+02	 -2.24587E+02	     4.921435%
 -23	  -9	 -2.40895E+01	 -9.92364E+00	  2.56463E+01	 -4.92320E+02	 -1.92647E+02	 -5.15681E+02	 -2.01788E+02	     4.745182%
 -23	  -8	 -2.40895E+01	 -8.83949E+00	  2.53318E+01	 -4.92320E+02	 -1.71242E+02	 -5.14914E+02	 -1.79100E+02	     4.589240%
 -23	  -7	 -2.40895E+01	 -7.74891E+00	  2.50491E+01	 -4.92320E+02	 -1.49837E+02	 -5.14243E+02	 -1.56509E+02	     4.452998%
 -23	  -6	 -2.40895E+01	 -6.65266E+00	  2.48000E+01	 -4.92320E+02	 -1.28431E+02	 -5.13667E+02	 -1.34000E+02	     4.335932%
 -23	  -5	 -2.40895E+01	 -5.55149E+00	  2.45862E+01	 -4.92320E+02	 -1.07026E+02	 -5.13183E+02	 -1.11561E+02	     4.237598%
 -23	  -4	 -2.40895E+01	 -4.44620E+00	  2.44092E+01	 -4.92320E+02	 -8.56209E+01	 -5.12789E+02	 -8.91807E+01	     4.157629%
 -23	  -3	 -2.40895E+01	 -3.33758E+00	  2.42701E+01	 -4.92320E+02	 -6.42156E+01	 -5.12484E+02	 -6.68457E+01	     4.095732%
 -23	  -2	 -2.40895E+01	 -2.22645E+00	  2.41701E+01	 -4.92320E+02	 -4.28104E+01	 -5.12267E+02	 -4.45450E+01	     4.051678%
 -23	  -1	 -2.40895E+01	 -1.11365E+00	  2.41097E+01	 -4.92320E+02	 -2.14052E+01	 -5.12137E+02	 -2.22668E+01	     4.025310%
 -23	   0	 -2.40895E+01	  0.00000E+00	  2.40895E+01	 -4.92320E+02	  0.00000E+00	 -5.12094E+02	  0.00000E+00	     4.016531%
 -23	   1	 -2.40895E+01	  1.11365E+00	  2.41097E+01	 -4.92320E+02	  2.14052E+01	 -5.12137E+02	  2.22668E+01	     4.025310%
 -23	   2	 -2.40895E+01	  2.22645E+00	  2.41701E+01	 -4.92320E+02	  4.28104E+01	 -5.12267E+02	  4.45450E+01	     4.051678%
 -23	   3	 -2.40895E+01	  3.33758E+00	  2.42701E+01	 -4.92320E+02	  6.42156E+01	 -5.12484E+02	  6.68457E+01	     4.095732%
 -23	   4	 -2.40895E+01	  4.44620E+00	  2.44092E+01	 -4.92320E+02	  8.56209E+01	 -5.12789E+02	  8.91807E+01	     4.157629%
 -23	   5	 -2.40895E+01	  5.55149E+00	  2.45862E+01	 -4.92320E+02	  1.07026E+02	 -5.13183E+02	  1.11561E+02	     4.237598%
 -23	   6	 -2.40895E+01	  6.65266E+00	  2.48000E+01	 -4.92320E+02	  1.28431E+02	 -5.13667E+02	  1.34000E+02	     4.335932%
 -23	   7	 -2.40895E+01	  7.74891E+00	  2.50491E+01	 -4.92320E+02	  1.49837E+02	 -5.14243E+02	  1.56509E+02	     4.452998%
 -23	   8	 -2.40895E+01	  8.83949E+00	  2.53318E+01	 -4.92320E+02	  1.71242E+02	 -5.14914E+02	  1.79100E+02	     4.589240%
 -23	   9	 -2.40895E+01	  9.92364E+00	  2.56463E+01	 -4.92320E+02	  1.92647E+02	 -5.15681E+02	  2.01788E+02	     4.745182%
 -23	  10	 -2.40895E+01	  1.10007E+01	  2.59908E+01	 -4.92320E+02	  2.14052E+02	 -5.16549E+02	  2.24587E+02	     4.921435%
 -23	  11	 -2.40895E+01	  1.20699E+01	  2.63633E+01	 -4.92320E+02	  2.35457E+02	 -5.17520E+02	  2.47510E+02	     5.118707%
 -23	  12	 -2.40895E+01	  1.31306E+01	  2.67617E+01	 -4.92320E+02	  2.56863E+02	 -5.18599E+02	  2.70573E+02	     5.337809%
 -23	  13	 -2.40895E+01	  1.41823E+01	  2.71841E+01	 -4.92320E+02	  2.78268E+02	 -5.19790E+02	  2.93794E+02	     5.579668%
 -23	  14	 -2.40895E+01	  1.52243E+01	  2.76284E+01	 -4.92320E+02	  2.99673E+02	 -5.21098E+02	  3.17190E+02	     5.845339%
 -23	  15	 -2.40895E+01	  1.62561E+01	  2.80926E+01	 -4.92320E+02	  3.21078E+02	 -5.22529E+02	  3.40780E+02	     6.136019%
 -23	  16	 -2.40895E+01	  1.72771E+01	  2.85747E+01	 -4.92320E+02	  3.42483E+02	 -5.24090E+02	  3.64584E+02	     6.453072%
 -23	  17	 -2.40895E+01	  1.82870E+01	  2.90730E+01	 -4.92320E+02	  3.63889E+02	 -5.25788E+02	  3.88626E+02	     6.798042%
 -23	  18	 -2.40895E+01	  1.92853E+01	  2.95856E+01	 -4.92320E+02	  3.85294E+02	 -5.27633E+02	  4.12930E+02	     7.172690%
 -23	  19	 -2.40895E+01	  2.02715E+01	  3.01107E+01	 -4.92320E+02	  4.06699E+02	 -5.29633E+02	  4.37523E+02	     7.579019%
 -23	  20	 -2.40895E+01	  2.12453E+01	  3.06467E+01	 -4.92320E+02	  4.28104E+02	 -5.31801E+02	  4.62435E+02	     8.019318%
 -23	  21	 -2.40895E+01	  2.22065E+01	  3.11920E+01	 -4.92320E+02	  4.49510E+02	 -5.34149E+02	  4.87701E+02	     8.496211%
 -23	  22	 -2.40895E+01	  2.31546E+01	  3.17453E+01	 -4.92320E+02	  4.70915E+02	 -5.36691E+02	  5.13357E+02	     9.012716%
 -23	  23	 -2.40895E+01	  2.40895E+01	  3.23051E+01	 -4.92320E+02	  4.92320E+02	 -5.39446E+02	  5.39446E+02	     9.572323%
 -23	  24	 -2.40895E+01	  2.50110E+01	  3.28702E+01	 -4.92320E+02	  5.13725E+02	 -5.42434E+02	  5.66018E+02	    10.179084%
 -23	  25	 -2.40895E+01	  2.59189E+01	  3.34393E+01	 -4.92320E+02	  5.35130E+02	 -5.45676E+02	  5.93126E+02	    10.837737%
