Listing of Grid Distortion Data

File : C:\Users\nberkovi\AppData\Local\Microsoft\Windows\INetCache\Content.Outlook\LUPB47RS\WA 3E SEQ 1 5x L4 0  170113 DFM PS.ZMX
Title: 1.5X 4.0mm Expander 50x37.5 to 75x56

Date : 29-Mar-17


Units are Millimeters.
Field units are degrees
Wavelength: 0.86000 ?m
Reference Coordinates: Xref =  0.00000E+00, Yref =  0.00000E+00

   i	   j	   X-Field  	   Y-Field  	   R-Field  	  Predicted X	  Predicted Y	   Real X	        Real Y	        Distortion
 -24	 -11	 -2.13776E+01	 -1.01713E+01	  2.32968E+01	 -1.09795E+03	 -5.03229E+02	 -1.26204E+03	 -5.78437E+02	    14.945012%
 -24	 -10	 -2.13776E+01	 -9.26348E+00	  2.29801E+01	 -1.09795E+03	 -4.57481E+02	 -1.25583E+03	 -5.23263E+02	    14.379202%
 -24	  -9	 -2.13776E+01	 -8.35091E+00	  2.26880E+01	 -1.09795E+03	 -4.11733E+02	 -1.25028E+03	 -4.68857E+02	    13.874005%
 -24	  -8	 -2.13776E+01	 -7.43404E+00	  2.24220E+01	 -1.09795E+03	 -3.65985E+02	 -1.24538E+03	 -4.15127E+02	    13.427380%
 -24	  -7	 -2.13776E+01	 -6.51333E+00	  2.21834E+01	 -1.09795E+03	 -3.20237E+02	 -1.24110E+03	 -3.61988E+02	    13.037504%
 -24	  -6	 -2.13776E+01	 -5.58923E+00	  2.19737E+01	 -1.09795E+03	 -2.74489E+02	 -1.23743E+03	 -3.09356E+02	    12.702779%
 -24	  -5	 -2.13776E+01	 -4.66221E+00	  2.17940E+01	 -1.09795E+03	 -2.28741E+02	 -1.23434E+03	 -2.57154E+02	    12.421832%
 -24	  -4	 -2.13776E+01	 -3.73273E+00	  2.16454E+01	 -1.09795E+03	 -1.82992E+02	 -1.23183E+03	 -2.05306E+02	    12.193513%
 -24	  -3	 -2.13776E+01	 -2.80128E+00	  2.15288E+01	 -1.09795E+03	 -1.37244E+02	 -1.22989E+03	 -1.53737E+02	    12.016889%
 -24	  -2	 -2.13776E+01	 -1.86835E+00	  2.14450E+01	 -1.09795E+03	 -9.14962E+01	 -1.22852E+03	 -1.02376E+02	    11.891240%
 -24	  -1	 -2.13776E+01	 -9.34422E-01	  2.13945E+01	 -1.09795E+03	 -4.57481E+01	 -1.22769E+03	 -5.11537E+01	    11.816053%
 -24	   0	 -2.13776E+01	  0.00000E+00	  2.13776E+01	 -1.09795E+03	  0.00000E+00	 -1.22741E+03	  0.00000E+00	    11.791025%
 -24	   1	 -2.13776E+01	  9.34422E-01	  2.13945E+01	 -1.09795E+03	  4.57481E+01	 -1.22769E+03	  5.11537E+01	    11.816053%
 -24	   2	 -2.13776E+01	  1.86835E+00	  2.14450E+01	 -1.09795E+03	  9.14962E+01	 -1.22852E+03	  1.02376E+02	    11.891240%
 -24	   3	 -2.13776E+01	  2.80128E+00	  2.15288E+01	 -1.09795E+03	  1.37244E+02	 -1.22989E+03	  1.53737E+02	    12.016889%
 -24	   4	 -2.13776E+01	  3.73273E+00	  2.16454E+01	 -1.09795E+03	  1.82992E+02	 -1.23183E+03	  2.05306E+02	    12.193513%
 -24	   5	 -2.13776E+01	  4.66221E+00	  2.17940E+01	 -1.09795E+03	  2.28741E+02	 -1.23434E+03	  2.57154E+02	    12.421832%
 -24	   6	 -2.13776E+01	  5.58923E+00	  2.19737E+01	 -1.09795E+03	  2.74489E+02	 -1.23743E+03	  3.09356E+02	    12.702779%
 -24	   7	 -2.13776E+01	  6.51333E+00	  2.21834E+01	 -1.09795E+03	  3.20237E+02	 -1.24110E+03	  3.61988E+02	    13.037504%
 -24	   8	 -2.13776E+01	  7.43404E+00	  2.24220E+01	 -1.09795E+03	  3.65985E+02	 -1.24538E+03	  4.15127E+02	    13.427380%
 -24	   9	 -2.13776E+01	  8.35091E+00	  2.26880E+01	 -1.09795E+03	  4.11733E+02	 -1.25028E+03	  4.68857E+02	    13.874005%
 -24	  10	 -2.13776E+01	  9.26348E+00	  2.29801E+01	 -1.09795E+03	  4.57481E+02	 -1.25583E+03	  5.23263E+02	    14.379202%
 -24	  11	 -2.13776E+01	  1.01713E+01	  2.32968E+01	 -1.09795E+03	  5.03229E+02	 -1.26204E+03	  5.78437E+02	    14.945012%
 -24	  12	 -2.13776E+01	  1.10741E+01	  2.36365E+01	 -1.09795E+03	  5.48977E+02	 -1.26895E+03	  6.34473E+02	    15.573680%
 -24	  13	 -2.13776E+01	  1.19713E+01	  2.39977E+01	 -1.09795E+03	  5.94725E+02	 -1.27657E+03	  6.91473E+02	    16.267632%
